,dataset,variant,accuracy_mean,accuracy_std
46,FaceAll,with_dilation (default),0.9475147928994083,0.003916516152277604
47,FaceAll,no_dilation,0.9157988165680473,0.002646895768798223
48,FaceFour,with_dilation (default),0.9761363636363635,0.003409090909090906
49,FaceFour,no_dilation,0.7136363636363636,0.004545454545454541
50,FacesUCR,with_dilation (default),0.9620975609756097,0.0008463098328242677
51,FacesUCR,no_dilation,0.8766829268292684,0.0020324552835121637
52,FiftyWords,with_dilation (default),0.8292307692307691,0.004289938746361161
53,FiftyWords,no_dilation,0.4672527472527473,0.003703802098099485
54,Fish,with_dilation (default),0.9828571428571428,0.0025555062599997656
55,Fish,no_dilation,0.8851428571428572,0.010364775512695447
56,FordA,with_dilation (default),0.935530303030303,0.0018695397998868234
57,FordA,no_dilation,0.8701515151515151,0.005899370404221766
58,FordB,with_dilation (default),0.805432098765432,0.01031732464976601
59,FordB,no_dilation,0.682716049382716,0.00831845951996198
60,GunPoint,with_dilation (default),1.0,0.0
61,GunPoint,no_dilation,1.0,0.0
62,Ham,with_dilation (default),0.7247619047619048,0.010816968277714787
63,Ham,no_dilation,0.661904761904762,0.01295378143689091
64,HandOutlines,with_dilation (default),0.9443243243243243,0.0024770679432193476
65,HandOutlines,no_dilation,0.7297297297297298,0.00888198741900268
66,Haptics,with_dilation (default),0.5314935064935065,0.006501618309902867
67,Haptics,no_dilation,0.44837662337662343,0.007031301242762246
68,Herring,with_dilation (default),0.615625,0.028125
69,Herring,no_dilation,0.625,0.006987712429686843
70,InlineSkate,with_dilation (default),0.47690909090909084,0.005272727272727272
71,InlineSkate,no_dilation,0.4909090909090909,0.005749595745760695
72,InsectWingbeatSound,with_dilation (default),0.6658585858585859,0.0026165320903007317
73,InsectWingbeatSound,no_dilation,0.3433838383838384,0.0036310988824280227
74,ItalyPowerDemand,with_dilation (default),0.9694849368318759,0.0008906852662693673
75,ItalyPowerDemand,no_dilation,0.9691933916423713,0.0006222666897408001
76,LargeKitchenAppliances,with_dilation (default),0.8992000000000001,0.005306599664568636
77,LargeKitchenAppliances,no_dilation,0.8861333333333334,0.003587633079219669
78,Lightning2,with_dilation (default),0.7901639344262295,0.009836065573770503
79,Lightning2,no_dilation,0.6491803278688524,0.008031113910764474
80,Lightning7,with_dilation (default),0.8191780821917808,0.0119421888864128
81,Lightning7,no_dilation,0.7082191780821917,0.012328767123287673
82,Mallat,with_dilation (default),0.9559914712153518,0.001345819517105296
83,Mallat,no_dilation,0.9310021321961621,0.0019800745017047043
84,Meat,with_dilation (default),0.9499999999999998,1.1102230246251565e-16
85,Meat,no_dilation,0.9316666666666666,0.011666666666666667
86,MedicalImages,with_dilation (default),0.7976315789473685,0.0036653653361010882
87,MedicalImages,no_dilation,0.7511842105263157,0.004010460698454773
88,MiddlePhalanxOutlineAgeGroup,with_dilation (default),0.5551948051948052,0.011706335309948022
89,MiddlePhalanxOutlineAgeGroup,no_dilation,0.5714285714285714,0.014807473053235572
90,MiddlePhalanxOutlineCorrect,with_dilation (default),0.8319587628865979,0.007117634081514761
91,MiddlePhalanxOutlineCorrect,no_dilation,0.8216494845360824,0.00915019034755626
92,MiddlePhalanxTW,with_dilation (default),0.5435064935064935,0.00873611951108682
93,MiddlePhalanxTW,no_dilation,0.5363636363636364,0.015421223489659656
94,MoteStrain,with_dilation (default),0.9139776357827477,0.0018231169665356827
95,MoteStrain,no_dilation,0.8708466453674122,0.0051149401426790276
96,NonInvasiveFetalECGThorax1,with_dilation (default),0.9553180661577608,0.0013992597541849841
97,NonInvasiveFetalECGThorax1,no_dilation,0.9038676844783715,0.002337091603705886
98,NonInvasiveFetalECGThorax2,with_dilation (default),0.9686513994910941,0.0009709304849027361
99,NonInvasiveFetalECGThorax2,no_dilation,0.926055979643766,0.003112657238345648
100,OSULeaf,with_dilation (default),0.9376033057851239,0.003432489199552912
101,OSULeaf,no_dilation,0.9433884297520659,0.004152841165752458
102,OliveOil,with_dilation (default),0.93,0.009999999999999998
103,OliveOil,no_dilation,0.8633333333333335,0.009999999999999998
104,PhalangesOutlinesCorrect,with_dilation (default),0.8374125874125873,0.007629360302588878
105,PhalangesOutlinesCorrect,no_dilation,0.807109557109557,0.004112419292395647
106,Phoneme,with_dilation (default),0.2801160337552743,0.002075808929763126
107,Phoneme,no_dilation,0.2900316455696202,0.0017082420612554584
108,Plane,with_dilation (default),1.0,0.0
109,Plane,no_dilation,1.0,0.0
110,ProximalPhalanxOutlineAgeGroup,with_dilation (default),0.853658536585366,0.006898602743283396
111,ProximalPhalanxOutlineAgeGroup,no_dilation,0.8678048780487805,0.005954417373528641
112,ProximalPhalanxOutlineCorrect,with_dilation (default),0.9089347079037801,0.007873841400267739
113,ProximalPhalanxOutlineCorrect,no_dilation,0.9030927835051547,0.007955901651402206
114,ProximalPhalanxTW,with_dilation (default),0.802439024390244,0.01138791954139388
115,ProximalPhalanxTW,no_dilation,0.8131707317073171,0.007572768144517043
