,dataset,num_kernels,accuracy_mean,accuracy_std
246,Mallat,100,0.9240511727078891,0.011575999102071109
247,Mallat,500,0.9507462686567164,0.0034446683201286767
248,Mallat,1000,0.9527931769722814,0.0030156822530042035
249,Mallat,2500,0.9567164179104477,0.0018999291607629356
250,Mallat,5000,0.9568443496801706,0.0016493884525214278
251,Mallat,10000,0.9556503198294243,0.0009146102596813378
252,Meat,100,0.9466666666666667,0.019436506316150994
253,Meat,500,0.9416666666666667,0.011180339887498935
254,Meat,1000,0.9466666666666665,0.009999999999999988
255,Meat,2500,0.9466666666666665,0.006666666666666644
256,Meat,5000,0.9483333333333333,0.004999999999999983
257,Meat,10000,0.9499999999999998,1.1102230246251565e-16
258,MedicalImages,100,0.7463157894736843,0.016848271897378024
259,MedicalImages,500,0.7747368421052632,0.00498613034776223
260,MedicalImages,1000,0.7902631578947368,0.0063431425227336745
261,MedicalImages,2500,0.7931578947368421,0.004395603444339506
262,MedicalImages,5000,0.7947368421052632,0.004442616583193186
263,MedicalImages,10000,0.7982894736842107,0.0023574306404169592
264,MiddlePhalanxOutlineAgeGroup,100,0.6350649350649351,0.011902794012872309
265,MiddlePhalanxOutlineAgeGroup,500,0.5967532467532468,0.021818568333001883
266,MiddlePhalanxOutlineAgeGroup,1000,0.5746753246753247,0.01096230065982738
267,MiddlePhalanxOutlineAgeGroup,2500,0.5584415584415584,0.01265817447377788
268,MiddlePhalanxOutlineAgeGroup,5000,0.5545454545454547,0.013987441057492202
269,MiddlePhalanxOutlineAgeGroup,10000,0.561038961038961,0.012388820797622668
270,MiddlePhalanxOutlineCorrect,100,0.8109965635738832,0.01529113090122816
271,MiddlePhalanxOutlineCorrect,500,0.8264604810996563,0.012318521188271418
272,MiddlePhalanxOutlineCorrect,1000,0.8323024054982817,0.011060808893079777
273,MiddlePhalanxOutlineCorrect,2500,0.8326460481099656,0.008967689588109895
274,MiddlePhalanxOutlineCorrect,5000,0.8353951890034363,0.008051803789594475
275,MiddlePhalanxOutlineCorrect,10000,0.8323024054982817,0.012275306597588832
276,MiddlePhalanxTW,100,0.5668831168831169,0.024649679085847157
277,MiddlePhalanxTW,500,0.5571428571428572,0.012921914767618456
278,MiddlePhalanxTW,1000,0.5487012987012987,0.014300464639964447
279,MiddlePhalanxTW,2500,0.5558441558441558,0.010943051653475802
280,MiddlePhalanxTW,5000,0.5493506493506494,0.015421223489659628
281,MiddlePhalanxTW,10000,0.5461038961038961,0.017532467532467535
282,MoteStrain,100,0.9023961661341853,0.012753567831445415
283,MoteStrain,500,0.9119009584664536,0.00506480474839864
284,MoteStrain,1000,0.9159744408945686,0.00548507498830331
285,MoteStrain,2500,0.9154153354632589,0.0051695275160653035
286,MoteStrain,5000,0.9160543130990415,0.002156549520766774
287,MoteStrain,10000,0.915335463258786,0.001636893093603772
288,NonInvasiveFetalECGThorax1,100,0.9052417302798983,0.005331623757235122
289,NonInvasiveFetalECGThorax1,500,0.9217811704834606,0.0030283105438802826
290,NonInvasiveFetalECGThorax1,1000,0.9382188295165393,0.0030635963243343355
291,NonInvasiveFetalECGThorax1,2500,0.9474300254452928,0.002555193936006771
292,NonInvasiveFetalECGThorax1,5000,0.9534351145038169,0.0019478533546060954
293,NonInvasiveFetalECGThorax1,10000,0.954910941475827,0.0024107316605245623
294,NonInvasiveFetalECGThorax2,100,0.9143511450381681,0.006596370050610862
295,NonInvasiveFetalECGThorax2,500,0.9539440203562342,0.0033000494324424505
296,NonInvasiveFetalECGThorax2,1000,0.9557760814249363,0.002579404762844616
297,NonInvasiveFetalECGThorax2,2500,0.9614249363867685,0.0018877594901772492
298,NonInvasiveFetalECGThorax2,5000,0.9653435114503817,0.0022351339700761147
299,NonInvasiveFetalECGThorax2,10000,0.9684478371501273,0.0015767871129597516
300,OSULeaf,100,0.8900826446280992,0.02219127534231
301,OSULeaf,500,0.9318181818181819,0.012011935416321185
