,dataset,run,accuracy
623,Crop,23,0.779702380952381
624,Crop,24,0.7770238095238096
625,Crop,25,0.7782738095238095
626,Crop,26,0.7791666666666667
627,Crop,27,0.7788690476190476
628,Crop,28,0.7771428571428571
629,Crop,29,0.7772023809523809
630,DiatomSizeReduction,0,0.9640522875816994
631,DiatomSizeReduction,1,0.9771241830065359
632,DiatomSizeReduction,2,0.9673202614379085
633,DiatomSizeReduction,3,0.9771241830065359
634,DiatomSizeReduction,4,0.9673202614379085
635,DiatomSizeReduction,5,0.9673202614379085
636,DiatomSizeReduction,6,0.9705882352941176
637,DiatomSizeReduction,7,0.9738562091503268
638,DiatomSizeReduction,8,0.9705882352941176
639,DiatomSizeReduction,9,0.9705882352941176
640,DiatomSizeReduction,10,0.9738562091503268
641,DiatomSizeReduction,11,0.9771241830065359
642,DiatomSizeReduction,12,0.9673202614379085
643,DiatomSizeReduction,13,0.9673202614379085
644,DiatomSizeReduction,14,0.9607843137254902
645,DiatomSizeReduction,15,0.9771241830065359
646,DiatomSizeReduction,16,0.9771241830065359
647,DiatomSizeReduction,17,0.9771241830065359
648,DiatomSizeReduction,18,0.9640522875816994
649,DiatomSizeReduction,19,0.9673202614379085
650,DiatomSizeReduction,20,0.9673202614379085
651,DiatomSizeReduction,21,0.9673202614379085
652,DiatomSizeReduction,22,0.9640522875816994
653,DiatomSizeReduction,23,0.9673202614379085
654,DiatomSizeReduction,24,0.9705882352941176
655,DiatomSizeReduction,25,0.9673202614379085
656,DiatomSizeReduction,26,0.9771241830065359
657,DiatomSizeReduction,27,0.9673202614379085
658,DiatomSizeReduction,28,0.9738562091503268
659,DiatomSizeReduction,29,0.9771241830065359
660,DistalPhalanxOutlineAgeGroup,0,0.7553956834532374
661,DistalPhalanxOutlineAgeGroup,1,0.7338129496402878
662,DistalPhalanxOutlineAgeGroup,2,0.7482014388489209
663,DistalPhalanxOutlineAgeGroup,3,0.7482014388489209
664,DistalPhalanxOutlineAgeGroup,4,0.7553956834532374
665,DistalPhalanxOutlineAgeGroup,5,0.7410071942446043
666,DistalPhalanxOutlineAgeGroup,6,0.7338129496402878
667,DistalPhalanxOutlineAgeGroup,7,0.7410071942446043
668,DistalPhalanxOutlineAgeGroup,8,0.7482014388489209
669,DistalPhalanxOutlineAgeGroup,9,0.7482014388489209
670,DistalPhalanxOutlineAgeGroup,10,0.7410071942446043
671,DistalPhalanxOutlineAgeGroup,11,0.7410071942446043
672,DistalPhalanxOutlineAgeGroup,12,0.762589928057554
673,DistalPhalanxOutlineAgeGroup,13,0.7482014388489209
674,DistalPhalanxOutlineAgeGroup,14,0.7338129496402878
675,DistalPhalanxOutlineAgeGroup,15,0.7482014388489209
676,DistalPhalanxOutlineAgeGroup,16,0.7553956834532374
677,DistalPhalanxOutlineAgeGroup,17,0.7266187050359713
678,DistalPhalanxOutlineAgeGroup,18,0.7553956834532374
679,DistalPhalanxOutlineAgeGroup,19,0.7266187050359713
680,DistalPhalanxOutlineAgeGroup,20,0.7338129496402878
681,DistalPhalanxOutlineAgeGroup,21,0.7338129496402878
682,DistalPhalanxOutlineAgeGroup,22,0.762589928057554
683,DistalPhalanxOutlineAgeGroup,23,0.7482014388489209
684,DistalPhalanxOutlineAgeGroup,24,0.7266187050359713
685,DistalPhalanxOutlineAgeGroup,25,0.7482014388489209
686,DistalPhalanxOutlineAgeGroup,26,0.7553956834532374
687,DistalPhalanxOutlineAgeGroup,27,0.7553956834532374
688,DistalPhalanxOutlineAgeGroup,28,0.7553956834532374
689,DistalPhalanxOutlineAgeGroup,29,0.7410071942446043
690,DistalPhalanxOutlineCorrect,0,0.7608695652173914
691,DistalPhalanxOutlineCorrect,1,0.782608695652174
692,DistalPhalanxOutlineCorrect,2,0.7789855072463768
693,DistalPhalanxOutlineCorrect,3,0.782608695652174
694,DistalPhalanxOutlineCorrect,4,0.7681159420289855
695,DistalPhalanxOutlineCorrect,5,0.75
696,DistalPhalanxOutlineCorrect,6,0.7572463768115942
697,DistalPhalanxOutlineCorrect,7,0.75
698,DistalPhalanxOutlineCorrect,8,0.7608695652173914
699,DistalPhalanxOutlineCorrect,9,0.7681159420289855
700,DistalPhalanxOutlineCorrect,10,0.7644927536231884
701,DistalPhalanxOutlineCorrect,11,0.7572463768115942
702,DistalPhalanxOutlineCorrect,12,0.7681159420289855
703,DistalPhalanxOutlineCorrect,13,0.7608695652173914
704,DistalPhalanxOutlineCorrect,14,0.782608695652174
705,DistalPhalanxOutlineCorrect,15,0.7753623188405797
706,DistalPhalanxOutlineCorrect,16,0.7717391304347826
707,DistalPhalanxOutlineCorrect,17,0.7536231884057971
708,DistalPhalanxOutlineCorrect,18,0.7608695652173914
709,DistalPhalanxOutlineCorrect,19,0.75
710,DistalPhalanxOutlineCorrect,20,0.7644927536231884
711,DistalPhalanxOutlineCorrect,21,0.7753623188405797
712,DistalPhalanxOutlineCorrect,22,0.7681159420289855
713,DistalPhalanxOutlineCorrect,23,0.7789855072463768
714,DistalPhalanxOutlineCorrect,24,0.7644927536231884
715,DistalPhalanxOutlineCorrect,25,0.7717391304347826
716,DistalPhalanxOutlineCorrect,26,0.7717391304347826
717,DistalPhalanxOutlineCorrect,27,0.7608695652173914
718,DistalPhalanxOutlineCorrect,28,0.7789855072463768
719,DistalPhalanxOutlineCorrect,29,0.7681159420289855
720,DistalPhalanxTW,0,0.6762589928057554
721,DistalPhalanxTW,1,0.6834532374100719
722,DistalPhalanxTW,2,0.697841726618705
723,DistalPhalanxTW,3,0.7050359712230215
724,DistalPhalanxTW,4,0.6906474820143885
725,DistalPhalanxTW,5,0.697841726618705
726,DistalPhalanxTW,6,0.7122302158273381
727,DistalPhalanxTW,7,0.6762589928057554
728,DistalPhalanxTW,8,0.697841726618705
729,DistalPhalanxTW,9,0.7122302158273381
730,DistalPhalanxTW,10,0.6906474820143885
731,DistalPhalanxTW,11,0.697841726618705
732,DistalPhalanxTW,12,0.7338129496402878
733,DistalPhalanxTW,13,0.6906474820143885
734,DistalPhalanxTW,14,0.6906474820143885
735,DistalPhalanxTW,15,0.697841726618705
736,DistalPhalanxTW,16,0.6834532374100719
737,DistalPhalanxTW,17,0.7122302158273381
738,DistalPhalanxTW,18,0.7050359712230215
739,DistalPhalanxTW,19,0.6906474820143885
