,dataset,threshold,accuracy_mean,accuracy_std,mean_features_kept,mean_fraction_kept,mean_train_time
74,CricketY,threshold=0.001,0.8461538461538461,,19689.0,0.98445,0.14297179999994114
75,CricketY,threshold=0.01,0.8076923076923077,,11524.0,0.5762,0.0972063000081107
76,CricketZ,no_selection (baseline),0.8589743589743589,,20000.0,1.0,0.15307489997940138
77,CricketZ,threshold=0.0,0.8589743589743589,,20000.0,1.0,0.13841359998332337
78,CricketZ,threshold=0.001,0.8641025641025641,,19601.0,0.98005,0.14645679999375716
79,CricketZ,threshold=0.01,0.8153846153846154,,11717.0,0.58585,0.11434400000143796
80,Crop,no_selection (baseline),0.7792261904761905,,20000.0,1.0,13.707483900012448
81,Crop,threshold=0.0,0.7792261904761905,,19727.0,0.98635,15.242464000009932
82,Crop,threshold=0.001,0.7811904761904762,,16867.0,0.84335,13.272780100000091
83,Crop,threshold=0.01,0.7669642857142858,,12340.0,0.617,12.512746499967761
84,DiatomSizeReduction,no_selection (baseline),0.9771241830065359,,20000.0,1.0,0.004740900010801852
85,DiatomSizeReduction,threshold=0.0,0.9771241830065359,,18504.0,0.9252,0.009629299980588257
86,DiatomSizeReduction,threshold=0.001,0.9771241830065359,,10922.0,0.5461,0.006808199977967888
87,DiatomSizeReduction,threshold=0.01,0.9771241830065359,,7058.0,0.3529,0.00455310003599152
88,DistalPhalanxOutlineAgeGroup,no_selection (baseline),0.7410071942446043,,20000.0,1.0,0.14715680002700537
89,DistalPhalanxOutlineAgeGroup,threshold=0.0,0.7410071942446043,,19910.0,0.9955,0.14810580003540963
90,DistalPhalanxOutlineAgeGroup,threshold=0.001,0.7482014388489209,,16796.0,0.8398,0.12759029999142513
91,DistalPhalanxOutlineAgeGroup,threshold=0.01,0.7553956834532374,,9992.0,0.4996,0.09014889999525622
92,DistalPhalanxOutlineCorrect,no_selection (baseline),0.7536231884057971,,20000.0,1.0,0.2327748999814503
93,DistalPhalanxOutlineCorrect,threshold=0.0,0.7536231884057971,,19984.0,0.9992,0.2578162999707274
94,DistalPhalanxOutlineCorrect,threshold=0.001,0.75,,17508.0,0.8754,0.22006619995227084
95,DistalPhalanxOutlineCorrect,threshold=0.01,0.7608695652173914,,10215.0,0.51075,0.16646969999419525
96,DistalPhalanxTW,no_selection (baseline),0.697841726618705,,20000.0,1.0,0.14214140002150089
97,DistalPhalanxTW,threshold=0.0,0.697841726618705,,19918.0,0.9959,0.1466923999832943
98,DistalPhalanxTW,threshold=0.001,0.6906474820143885,,16842.0,0.8421,0.12942680000560358
99,DistalPhalanxTW,threshold=0.01,0.6834532374100719,,10048.0,0.5024,0.1107285000034608
100,DodgerLoopDay,no_selection (baseline),0.525,,20000.0,1.0,0.022123999951872975
101,DodgerLoopDay,threshold=0.0,0.525,,19998.0,0.9999,0.023606599948834628
102,DodgerLoopDay,threshold=0.001,0.5375,,19740.0,0.987,0.023486100020818412
103,DodgerLoopDay,threshold=0.01,0.55,,11549.0,0.57745,0.012843600008636713
104,DodgerLoopGame,no_selection (baseline),0.8695652173913043,,20000.0,1.0,0.006104299973230809
105,DodgerLoopGame,threshold=0.0,0.8695652173913043,,19993.0,0.99965,0.00841840001521632
106,DodgerLoopGame,threshold=0.001,0.8695652173913043,,18231.0,0.91155,0.007669299957342446
107,DodgerLoopGame,threshold=0.01,0.8695652173913043,,12215.0,0.61075,0.00613390002399683
108,DodgerLoopWeekend,no_selection (baseline),0.9637681159420289,,20000.0,1.0,0.006331800017505884
109,DodgerLoopWeekend,threshold=0.0,0.9637681159420289,,19989.0,0.99945,0.008666699985042214
110,DodgerLoopWeekend,threshold=0.001,0.9637681159420289,,16757.0,0.83785,0.007271900016348809
111,DodgerLoopWeekend,threshold=0.01,0.9710144927536232,,11357.0,0.56785,0.005598799965810031
112,ECG200,no_selection (baseline),0.91,,20000.0,1.0,0.027971600007731467
113,ECG200,threshold=0.0,0.91,,19998.0,0.9999,0.030312899965792894
114,ECG200,threshold=0.001,0.91,,19134.0,0.9567,0.03595570003380999
115,ECG200,threshold=0.01,0.88,,11135.0,0.55675,0.015843599976506084
116,ECG5000,no_selection (baseline),0.9468888888888889,,20000.0,1.0,0.16225880000274628
117,ECG5000,threshold=0.0,0.9468888888888889,,19999.0,0.99995,0.1948913999949582
118,ECG5000,threshold=0.001,0.948,,18742.0,0.9371,0.18553670000983402
119,ECG5000,threshold=0.01,0.9482222222222222,,12397.0,0.61985,0.14644760004011914
120,ECGFiveDays,no_selection (baseline),1.0,,20000.0,1.0,0.007238499994855374
121,ECGFiveDays,threshold=0.0,1.0,,19996.0,0.9998,0.007373699976596981
122,ECGFiveDays,threshold=0.001,1.0,,14350.0,0.7175,0.0057693999842740595
123,ECGFiveDays,threshold=0.01,1.0,,10364.0,0.5182,0.004664999956730753
124,EOGHorizontalSignal,no_selection (baseline),0.585635359116022,,20000.0,1.0,0.13620340003399178
125,EOGHorizontalSignal,threshold=0.0,0.585635359116022,,20000.0,1.0,0.14981619996251538
126,EOGHorizontalSignal,threshold=0.001,0.5828729281767956,,19835.0,0.99175,0.1555841999943368
127,EOGHorizontalSignal,threshold=0.01,0.5966850828729282,,16908.0,0.8454,0.13137760001700372
128,EOGVerticalSignal,no_selection (baseline),0.5414364640883977,,20000.0,1.0,0.138900299964007
129,EOGVerticalSignal,threshold=0.0,0.5414364640883977,,20000.0,1.0,0.1490442999638617
130,EOGVerticalSignal,threshold=0.001,0.5524861878453039,,19915.0,0.99575,0.15547019999939948
131,EOGVerticalSignal,threshold=0.01,0.5414364640883977,,18423.0,0.92115,0.14350050000939518
132,Earthquakes,no_selection (baseline),0.7553956834532374,,20000.0,1.0,0.12997590005397797
133,Earthquakes,threshold=0.0,0.7553956834532374,,20000.0,1.0,0.12697529996512458
134,Earthquakes,threshold=0.001,0.7553956834532374,,19904.0,0.9952,0.1243850999744609
135,Earthquakes,threshold=0.01,0.7482014388489209,,10202.0,0.5101,0.07134539994876832
136,ElectricDevices,no_selection (baseline),0.7271430424069512,,20000.0,1.0,24.40742250002222
137,ElectricDevices,threshold=0.0,0.7271430424069512,,20000.0,1.0,24.706236500001978
138,ElectricDevices,threshold=0.001,0.7271430424069512,,20000.0,1.0,24.813813699991442
139,ElectricDevices,threshold=0.01,0.7255868240176372,,19679.0,0.98395,24.624280499992892
140,EthanolLevel,no_selection (baseline),0.592,,20000.0,1.0,0.1623431000043638
141,EthanolLevel,threshold=0.0,0.592,,18664.0,0.9332,0.1820505000068806
142,EthanolLevel,threshold=0.001,0.558,,8811.0,0.44055,0.12207969999872148
143,EthanolLevel,threshold=0.01,0.562,,6208.0,0.3104,0.09874909999780357
144,FaceAll,no_selection (baseline),0.9437869822485208,,20000.0,1.0,0.23013690003426746
145,FaceAll,threshold=0.0,0.9437869822485208,,20000.0,1.0,0.22283489996334538
146,FaceAll,threshold=0.001,0.9443786982248521,,19051.0,0.95255,0.21879700000863522
147,FaceAll,threshold=0.01,0.9355029585798816,,10252.0,0.5126,0.15448780002770945
148,FaceFour,no_selection (baseline),0.9772727272727273,,20000.0,1.0,0.007107699988409877
149,FaceFour,threshold=0.0,0.9772727272727273,,20000.0,1.0,0.009146299969870597
150,FaceFour,threshold=0.001,0.9659090909090909,,16001.0,0.80005,0.0075595000525936484
