,dataset,variant,accuracy_mean,accuracy_std
54,Fish,with_bias (default),0.9834285714285714,0.0047466422073817495
55,Fish,no_bias,0.9714285714285713,1.1102230246251565e-16
56,FordA,with_bias (default),0.9369696969696969,0.0029690784761008397
57,FordA,no_bias,0.8961363636363636,0.005862774973922971
58,FordB,with_bias (default),0.8004938271604939,0.007493328842219029
59,FordB,no_bias,0.7692592592592593,0.009262550855260596
60,GunPoint,with_bias (default),1.0,0.0
61,GunPoint,no_bias,0.9953333333333333,0.0030550504633039127
62,Ham,with_bias (default),0.720952380952381,0.01538618516324144
63,Ham,no_bias,0.7352380952380952,0.007126966450997996
64,HandOutlines,with_bias (default),0.945135135135135,0.0021108782907855606
65,HandOutlines,no_bias,0.9440540540540541,0.004017856418194204
66,Haptics,with_bias (default),0.5357142857142858,0.007952888775270074
67,Haptics,no_bias,0.5094155844155843,0.009003522483027307
68,Herring,with_bias (default),0.61875,0.01593443597997745
69,Herring,no_bias,0.6515625,0.012203515118604147
70,InlineSkate,with_bias (default),0.4756363636363637,0.006665564647208492
71,InlineSkate,no_bias,0.47309090909090906,0.004656817627223889
72,InsectWingbeatSound,with_bias (default),0.6655050505050505,0.0027014301253164195
73,InsectWingbeatSound,no_bias,0.6757070707070707,0.00323744858798735
74,ItalyPowerDemand,with_bias (default),0.9696793002915454,0.0009521826016649983
75,ItalyPowerDemand,no_bias,0.968027210884354,0.0008072520760853227
76,LargeKitchenAppliances,with_bias (default),0.8984,0.006016274225428514
77,LargeKitchenAppliances,no_bias,0.8335999999999999,0.00948074071180331
78,Lightning2,with_bias (default),0.7901639344262295,0.012267729136963758
79,Lightning2,no_bias,0.7081967213114754,0.030049676688235008
80,Lightning7,with_bias (default),0.8232876712328767,0.0113789367985179
81,Lightning7,no_bias,0.7712328767123288,0.008771403064976518
82,Mallat,with_bias (default),0.9562473347547973,0.0012678949891103326
83,Mallat,no_bias,0.9536460554371002,0.0015381397694559842
84,Meat,with_bias (default),0.9499999999999998,1.1102230246251565e-16
85,Meat,no_bias,0.9666666666666666,0.007453559924999297
86,MedicalImages,with_bias (default),0.7971052631578949,0.003520812673752541
87,MedicalImages,no_bias,0.7747368421052632,0.004663169775439325
88,MiddlePhalanxOutlineAgeGroup,with_bias (default),0.5564935064935066,0.020544535090332963
89,MiddlePhalanxOutlineAgeGroup,no_bias,0.5564935064935066,0.01163407329036942
90,MiddlePhalanxOutlineCorrect,with_bias (default),0.834020618556701,0.006529209621993141
91,MiddlePhalanxOutlineCorrect,no_bias,0.8402061855670102,0.009252860493358262
92,MiddlePhalanxTW,with_bias (default),0.5493506493506495,0.012724622040432098
93,MiddlePhalanxTW,no_bias,0.5512987012987012,0.016024626856172817
94,MoteStrain,with_bias (default),0.9149361022364217,0.001646607677962329
95,MoteStrain,no_bias,0.9604632587859424,0.001996805111821074
96,NonInvasiveFetalECGThorax1,with_bias (default),0.9561323155216284,0.0018178698320093266
97,NonInvasiveFetalECGThorax1,no_bias,0.9446819338422392,0.0030707735046403262
98,NonInvasiveFetalECGThorax2,with_bias (default),0.9676844783715014,0.0018100172258298892
99,NonInvasiveFetalECGThorax2,no_bias,0.9622391857506363,0.0012834117265057014
100,OSULeaf,with_bias (default),0.9417355371900827,0.005371900826446281
101,OSULeaf,no_bias,0.9285123966942148,0.0066758241410758345
102,OliveOil,with_bias (default),0.9166666666666667,0.016666666666666663
103,OliveOil,no_bias,0.9033333333333335,0.009999999999999997
104,PhalangesOutlinesCorrect,with_bias (default),0.836130536130536,0.006535126232576314
105,PhalangesOutlinesCorrect,no_bias,0.8152680652680653,0.007503691656326295
106,Phoneme,with_bias (default),0.27985232067510546,0.0032099417836926004
107,Phoneme,no_bias,0.2451476793248945,0.0030826243029962994
108,Plane,with_bias (default),1.0,0.0
109,Plane,no_bias,1.0,0.0
110,ProximalPhalanxOutlineAgeGroup,with_bias (default),0.8546341463414635,0.005253819324033667
