,dataset,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_range
101,ShapeletSim,1.0,0.0,1.0,1.0,0.0
102,ShapesAll,0.9068888888888889,0.003382775089366162,0.9016666666666666,0.9133333333333333,0.011666666666666714
103,SmallKitchenAppliances,0.8186666666666667,0.004429092258866169,0.8106666666666666,0.8293333333333334,0.01866666666666672
104,SmoothSubspace,0.9744444444444444,0.0030742202491826783,0.9666666666666667,0.98,0.013333333333333308
105,SonyAIBORobotSurface1,0.9215196894065446,0.002315612334755057,0.9168053244592346,0.9267886855241264,0.009983361064891838
106,SonyAIBORobotSurface2,0.9197621545995103,0.002938779367713896,0.912906610703043,0.9265477439664218,0.01364113326337879
107,StarLightCurves,0.9809818682208192,0.00036977189033812177,0.9802088392423507,0.981665857212239,0.0014570179698882857
108,Strawberry,0.9816216216216217,0.0013087410759770367,0.981081081081081,0.9864864864864865,0.005405405405405461
109,SwedishLeaf,0.9656,0.0027472870630672764,0.9616,0.9712,0.009599999999999942
110,Symbols,0.9741373534338358,0.0008318411927584844,0.9728643216080402,0.9758793969849247,0.0030150753768845018
111,SyntheticControl,0.9993333333333333,0.001614113993704999,0.9933333333333333,1.0,0.00666666666666671
112,ToeSegmentation1,0.9573099415204678,0.003978890961928694,0.9517543859649122,0.9649122807017544,0.013157894736842146
113,ToeSegmentation2,0.9207692307692308,0.006110590683921474,0.9076923076923077,0.9307692307692308,0.023076923076923106
114,Trace,1.0,0.0,1.0,1.0,0.0
115,TwoLeadECG,0.9991220368744512,0.0,0.9991220368744512,0.9991220368744512,0.0
116,TwoPatterns,1.0,0.0,1.0,1.0,0.0
117,UMD,0.9861111111111112,0.0,0.9861111111111112,0.9861111111111112,0.0
118,UWaveGestureLibraryAll,0.9753675786339103,0.0007747910603882956,0.9743160245672808,0.9773869346733668,0.0030709101060859556
119,UWaveGestureLibraryX,0.8552763819095477,0.0016419849844340319,0.8523171412618649,0.8581797878280291,0.005862646566164198
120,UWaveGestureLibraryY,0.7782244556113903,0.0023202649269767743,0.7738693467336684,0.781965382467895,0.008096035734226681
121,UWaveGestureLibraryZ,0.7946305602084497,0.0018423467125767777,0.7895030709101061,0.7975991066443328,0.008096035734226681
122,Wafer,0.9982370754921047,0.0003898545066991947,0.9970798182998053,0.9988643737832577,0.0017845554834523547
123,Wine,0.802469135802469,0.03584721444593412,0.7407407407407407,0.8518518518518519,0.11111111111111116
124,WordSynonyms,0.7491640543364682,0.0036927363176895273,0.7429467084639498,0.7570532915360502,0.014106583072100332
125,Worms,0.7277056277056277,0.007986336361797117,0.7142857142857143,0.7402597402597403,0.025974025974025983
126,WormsTwoClass,0.796969696969697,0.012979547040441939,0.7662337662337663,0.8181818181818182,0.051948051948051965
127,Yoga,0.9092666666666667,0.0032769951660031197,0.9026666666666666,0.9173333333333333,0.014666666666666717
