,dataset,run,accuracy_no_normalisation,accuracy_with_normalisation,difference
92,ProximalPhalanxOutlineCorrect,0,0.9037800687285223,0.9106529209621993,0.0068728522336769515
93,ProximalPhalanxTW,0,0.8,0.7951219512195122,-0.004878048780487809
94,RefrigerationDevices,0,0.5413333333333333,0.5413333333333333,0.0
95,Rock,0,0.68,0.88,0.19999999999999996
96,ScreenType,0,0.4533333333333333,0.456,0.002666666666666706
97,SemgHandGenderCh2,0,0.8966666666666666,0.925,0.028333333333333433
98,SemgHandMovementCh2,0,0.5866666666666667,0.6622222222222223,0.0755555555555556
99,SemgHandSubjectCh2,0,0.84,0.8911111111111111,0.05111111111111111
100,ShakeGestureWiimoteZ,0,0.94,0.1,-0.84
101,ShapeletSim,0,1.0,1.0,0.0
102,ShapesAll,0,0.9033333333333333,0.9033333333333333,0.0
103,SmallKitchenAppliances,0,0.824,0.824,0.0
104,SmoothSubspace,0,0.9733333333333334,0.98,0.006666666666666599
105,SonyAIBORobotSurface1,0,0.9201331114808652,0.9201331114808652,0.0
106,SonyAIBORobotSurface2,0,0.919202518363064,0.9202518363064008,0.0010493179433368471
107,StarLightCurves,0,0.9811801845556095,0.9811801845556095,0.0
108,Strawberry,0,0.981081081081081,0.981081081081081,0.0
109,SwedishLeaf,0,0.9664,0.968,0.0015999999999999348
110,Symbols,0,0.9738693467336683,0.9738693467336683,0.0
111,SyntheticControl,0,1.0,1.0,0.0
112,ToeSegmentation1,0,0.9517543859649122,0.9517543859649122,0.0
113,ToeSegmentation2,0,0.9230769230769231,0.9230769230769231,0.0
114,Trace,0,1.0,1.0,0.0
115,TwoLeadECG,0,0.9991220368744512,0.9991220368744512,0.0
116,TwoPatterns,0,1.0,1.0,0.0
117,UMD,0,0.9861111111111112,0.9930555555555556,0.00694444444444442
118,UWaveGestureLibraryAll,0,0.9768285873813513,0.9768285873813513,0.0
119,UWaveGestureLibraryX,0,0.8573422668900056,0.8576214405360134,0.00027917364600782424
120,UWaveGestureLibraryY,0,0.7769402568397543,0.7772194304857621,0.00027917364600782424
121,UWaveGestureLibraryZ,0,0.7970407593523171,0.7964824120603015,-0.0005583472920156485
122,Wafer,0,0.9987021414665801,0.9987021414665801,0.0
123,Wine,0,0.7962962962962963,0.7592592592592593,-0.03703703703703698
124,WordSynonyms,0,0.7476489028213166,0.7492163009404389,0.0015673981191223207
125,Worms,0,0.7402597402597403,0.7402597402597403,0.0
126,WormsTwoClass,0,0.7792207792207793,0.7792207792207793,0.0
127,Yoga,0,0.9123333333333333,0.9116666666666666,-0.0006666666666667043
