,dataset,feature_type,accuracy_mean,accuracy_std
40,CricketZ,ppv_only,0.8471794871794872,0.004166173540838939
41,CricketZ,max_only,0.7938461538461539,0.007536891516255946
42,DiatomSizeReduction,both (default),0.9722222222222221,0.004444925002854705
43,DiatomSizeReduction,ppv_only,0.9431372549019608,0.00623489674128723
44,DiatomSizeReduction,max_only,0.9771241830065358,0.0020668481439008943
45,DistalPhalanxOutlineAgeGroup,both (default),0.7482014388489209,0.010670789190065711
46,DistalPhalanxOutlineAgeGroup,ppv_only,0.7589928057553956,0.015176275618510078
47,DistalPhalanxOutlineAgeGroup,max_only,0.756115107913669,0.00751101187691408
48,DistalPhalanxOutlineCorrect,both (default),0.7666666666666667,0.0056596012144251
49,DistalPhalanxOutlineCorrect,ppv_only,0.7728260869565218,0.006491475676510486
50,DistalPhalanxOutlineCorrect,max_only,0.7644927536231885,0.00512396218251119
51,DistalPhalanxTW,both (default),0.6899280575539568,0.010886867590231337
52,DistalPhalanxTW,ppv_only,0.7043165467625899,0.014189268290155401
53,DistalPhalanxTW,max_only,0.6741007194244605,0.00791366906474822
54,ECG200,both (default),0.915,0.006708203932499376
55,ECG200,ppv_only,0.9010000000000001,0.005385164807134509
56,ECG200,max_only,0.8489999999999999,0.005385164807134509
57,ECG5000,both (default),0.9469777777777777,0.0005896221849520625
58,ECG5000,ppv_only,0.9464666666666666,0.0004268749491621845
59,ECG5000,max_only,0.9479555555555554,0.0005946261404559782
60,ECGFiveDays,both (default),1.0,0.0
61,ECGFiveDays,ppv_only,1.0,0.0
62,ECGFiveDays,max_only,1.0,0.0
63,Earthquakes,both (default),0.7496402877697841,0.004316546762589924
64,Earthquakes,ppv_only,0.7532374100719423,0.005618884658925653
65,Earthquakes,max_only,0.7568345323741006,0.004316546762589946
66,ElectricDevices,both (default),0.7289845675009727,0.002309556023289715
67,ElectricDevices,ppv_only,0.7500194527298663,0.006728682733047816
68,ElectricDevices,max_only,0.6606795486966671,0.001975513870278107
69,FaceAll,both (default),0.9462721893491123,0.002956212070247765
70,FaceAll,ppv_only,0.7920710059171598,0.002136742021925198
71,FaceAll,max_only,0.9355621301775147,0.0032673225307167987
72,FaceFour,both (default),0.9761363636363635,0.003409090909090906
73,FaceFour,ppv_only,1.0,0.0
74,FaceFour,max_only,0.8386363636363636,0.009906588508046977
75,FacesUCR,both (default),0.9614634146341462,0.0007235315597166507
76,FacesUCR,ppv_only,0.962829268292683,0.0018993094959933465
77,FacesUCR,max_only,0.9486341463414634,0.001647741049176054
78,FiftyWords,both (default),0.8283516483516482,0.0041058333389603335
79,FiftyWords,ppv_only,0.8479120879120879,0.005454801602633325
80,FiftyWords,max_only,0.7490109890109891,0.0053655189519708395
81,Fish,both (default),0.9811428571428571,0.003658928135675928
82,Fish,ppv_only,0.9765714285714285,0.006490180966628897
83,Fish,max_only,0.9845714285714285,0.002618614682831889
84,FordA,both (default),0.9375757575757575,0.004207104053610534
85,FordA,ppv_only,0.938409090909091,0.0029350561557288796
86,FordA,max_only,0.9157575757575758,0.004414788571010149
87,FordB,both (default),0.8004938271604937,0.007614392071658892
88,FordB,ppv_only,0.7944444444444444,0.006252571487457072
89,FordB,max_only,0.7777777777777779,0.008076754189528954
90,GunPoint,both (default),1.0,0.0
91,GunPoint,ppv_only,0.9986666666666666,0.002666666666666684
92,GunPoint,max_only,1.0,0.0
93,Ham,both (default),0.7266666666666668,0.015386185163241422
