dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
GunPointMaleVersusFemale,0.9984177215189873,0.0015822784810126669,0.11232068000099389,0.17675446999928682
GunPointOldVersusYoung,1.0,0.0,0.1117865799984429,0.18253873999929054
Ham,0.7219047619047618,0.012634761106115807,0.2112870999975712,0.173335490001773
HandOutlines,0.9435135135135135,0.0025497246302855422,8.658023530003266,3.1497399499930907
Haptics,0.5337662337662338,0.006993720528746131,0.5855177999997977,1.035888350001187
Herring,0.6171875,0.017469281074217108,0.1281389500029036,0.11292586999916238
HouseTwenty,0.9655462184873949,0.0025210084033613356,0.2884764200018253,0.7246013100026175
InlineSkate,0.4727272727272728,0.003899565561732226,0.6647647800011328,3.0937849500012815
InsectEPGRegularTrain,1.0,0.0,0.1432279100030428,0.4856616100019892
InsectEPGSmallTrain,1.0,0.0,0.04772315999434795,0.4786803999973927
InsectWingbeatSound,0.6652020202020201,0.0032216522088519242,0.24465169000031894,1.5816517500017655
ItalyPowerDemand,0.968901846452867,0.0011498697343245042,0.024541019993193913,0.14892093999660574
LargeKitchenAppliances,0.8989333333333335,0.006016274225428509,0.9697846499984735,0.8306973100014148
Lightning2,0.7885245901639344,0.011475409836065587,0.14849252999702003,0.13718325000081677
Lightning7,0.8232876712328767,0.018832502855982897,0.08732375999825308,0.08879142999794568
Mallat,0.9559914712153518,0.0009872782006644263,0.22163950000249313,7.066954009997425
Meat,0.9499999999999998,1.1102230246251565e-16,0.10854580999584869,0.0967913199958275
MedicalImages,0.7961842105263157,0.0017105263157894725,0.27123767000011867,0.27695599999424303
MelbournePedestrian,0.9421484214842148,0.0019955872937495625,0.5990417599969078,0.3548990999988746
MiddlePhalanxOutlineAgeGroup,0.5636363636363636,0.016631491525799593,0.24298869999911404,0.04937306999490829
MiddlePhalanxOutlineCorrect,0.8333333333333333,0.006915674157215867,0.3711259500007145,0.09059409999899798
MiddlePhalanxTW,0.5519480519480519,0.0199087139178648,0.24093851999787147,0.049340860002848784
MixedShapesRegularTrain,0.9712577319587631,0.0016907216494845448,1.6794856200023787,7.358706899994286
MixedShapesSmallTrain,0.9382268041237113,0.0016161581808053853,0.37015932999929646,7.461862379996455
MoteStrain,0.9158146964856231,0.0026538734386319686,0.013179400000080933,0.39613395999913337
