,dataset,variant,accuracy_mean,accuracy_std
51,DistalPhalanxTW,random_padding (default),0.6956834532374101,0.01328502540476216
52,DistalPhalanxTW,no_padding,0.6978417266187051,0.007194244604316524
53,DistalPhalanxTW,always_padding,0.6971223021582734,0.01304917780375328
54,ECG200,random_padding (default),0.9179999999999999,0.0040000000000000036
55,ECG200,no_padding,0.907,0.004582575694955844
56,ECG200,always_padding,0.914,0.004898979485566361
57,ECG5000,random_padding (default),0.9472666666666665,0.00045596187841518446
58,ECG5000,no_padding,0.9481333333333334,0.0005639367795755275
59,ECG5000,always_padding,0.9476222222222225,0.00033035708327373554
60,ECGFiveDays,random_padding (default),1.0,0.0
61,ECGFiveDays,no_padding,1.0,0.0
62,ECGFiveDays,always_padding,1.0,0.0
63,Earthquakes,random_padding (default),0.7510791366906474,0.004772122000511364
64,Earthquakes,no_padding,0.756115107913669,0.0050359712230215944
65,Earthquakes,always_padding,0.7553956834532374,0.00455003979880343
66,ElectricDevices,random_padding (default),0.7289975359875502,0.0021700816152465234
67,ElectricDevices,no_padding,0.7237971728699261,0.0023255212207425402
68,ElectricDevices,always_padding,0.7352224095448061,0.0023672728113837034
69,FaceAll,random_padding (default),0.9464497041420119,0.0022802188009464824
70,FaceAll,no_padding,0.9430769230769231,0.003386766395563105
71,FaceAll,always_padding,0.9330177514792899,0.006261014942679898
72,FaceFour,random_padding (default),0.975,0.004545454545454541
73,FaceFour,no_padding,0.9772727272727272,1.1102230246251565e-16
74,FaceFour,always_padding,0.9681818181818181,0.004545454545454541
75,FacesUCR,random_padding (default),0.9622439024390242,0.0008220633925050113
76,FacesUCR,no_padding,0.9599999999999997,0.0008994677519310142
77,FacesUCR,always_padding,0.9630731707317072,0.0011958683582567096
78,FiftyWords,random_padding (default),0.8305494505494504,0.004334743499629928
79,FiftyWords,no_padding,0.8206593406593405,0.002637362637362628
80,FiftyWords,always_padding,0.8285714285714285,0.004610148783165527
81,Fish,random_padding (default),0.9828571428571428,0.0025555062599997656
82,Fish,no_padding,0.9828571428571428,1.1102230246251565e-16
83,Fish,always_padding,0.9731428571428571,0.004462999814803769
84,FordA,random_padding (default),0.9371969696969696,0.004984480045332116
85,FordA,no_padding,0.9394696969696972,0.002843685511988401
86,FordA,always_padding,0.9359848484848484,0.0039401223102866305
87,FordB,random_padding (default),0.8040740740740742,0.008713111105478462
88,FordB,no_padding,0.8058024691358024,0.006049382716049382
89,FordB,always_padding,0.8003703703703703,0.006124502101141954
90,GunPoint,random_padding (default),1.0,0.0
91,GunPoint,no_padding,1.0,0.0
92,GunPoint,always_padding,1.0,0.0
93,Ham,random_padding (default),0.7190476190476189,0.021402100051661162
94,Ham,no_padding,0.7142857142857142,0.01593638145779189
