,dataset,run,accuracy
313,EOGHorizontalSignal,3,0.5662983425414365
314,EOGHorizontalSignal,4,0.580110497237569
315,EOGHorizontalSignal,5,0.5828729281767956
316,EOGHorizontalSignal,6,0.6022099447513812
317,EOGHorizontalSignal,7,0.580110497237569
318,EOGHorizontalSignal,8,0.5966850828729282
319,EOGHorizontalSignal,9,0.5718232044198895
320,EOGVerticalSignal,0,0.5441988950276243
321,EOGVerticalSignal,1,0.5552486187845304
322,EOGVerticalSignal,2,0.5469613259668509
323,EOGVerticalSignal,3,0.5248618784530387
324,EOGVerticalSignal,4,0.5607734806629834
325,EOGVerticalSignal,5,0.56353591160221
326,EOGVerticalSignal,6,0.5524861878453039
327,EOGVerticalSignal,7,0.5469613259668509
328,EOGVerticalSignal,8,0.5414364640883977
329,EOGVerticalSignal,9,0.5359116022099447
330,Earthquakes,0,0.7410071942446043
331,Earthquakes,1,0.762589928057554
332,Earthquakes,2,0.7697841726618705
333,Earthquakes,3,0.762589928057554
334,Earthquakes,4,0.7553956834532374
335,Earthquakes,5,0.7553956834532374
336,Earthquakes,6,0.7553956834532374
337,Earthquakes,7,0.7697841726618705
338,Earthquakes,8,0.7482014388489209
339,Earthquakes,9,0.7482014388489209
340,ElectricDevices,0,0.7324601219037739
341,ElectricDevices,1,0.7290883153935935
342,ElectricDevices,2,0.7302554791855791
343,ElectricDevices,3,0.731033588380236
344,ElectricDevices,4,0.7318116975748931
345,ElectricDevices,5,0.7240306056283232
346,ElectricDevices,6,0.7286992607962651
347,ElectricDevices,7,0.731033588380236
348,ElectricDevices,8,0.7288289456620413
349,ElectricDevices,9,0.7270133575411749
350,EthanolLevel,0,0.584
351,EthanolLevel,1,0.604
352,EthanolLevel,2,0.604
353,EthanolLevel,3,0.576
354,EthanolLevel,4,0.584
355,EthanolLevel,5,0.596
356,EthanolLevel,6,0.58
357,EthanolLevel,7,0.594
358,EthanolLevel,8,0.586
359,EthanolLevel,9,0.592
360,FaceAll,0,0.942603550295858
361,FaceAll,1,0.9467455621301775
362,FaceAll,2,0.9431952662721893
363,FaceAll,3,0.9431952662721893
364,FaceAll,4,0.9402366863905326
365,FaceAll,5,0.9485207100591716
366,FaceAll,6,0.9491124260355029
367,FaceAll,7,0.9437869822485208
368,FaceAll,8,0.9497041420118343
369,FaceAll,9,0.9479289940828403
370,FaceFour,0,0.9772727272727273
371,FaceFour,1,0.9772727272727273
372,FaceFour,2,0.9772727272727273
373,FaceFour,3,0.9659090909090909
374,FaceFour,4,0.9772727272727273
375,FaceFour,5,0.9772727272727273
376,FaceFour,6,0.9772727272727273
377,FaceFour,7,0.9772727272727273
378,FaceFour,8,0.9772727272727273
379,FaceFour,9,0.9659090909090909
380,FacesUCR,0,0.9609756097560975
381,FacesUCR,1,0.9609756097560975
382,FacesUCR,2,0.9619512195121951
383,FacesUCR,3,0.9609756097560975
384,FacesUCR,4,0.9614634146341463
385,FacesUCR,5,0.9634146341463414
386,FacesUCR,6,0.9609756097560975
387,FacesUCR,7,0.9614634146341463
388,FacesUCR,8,0.9604878048780487
389,FacesUCR,9,0.9619512195121951
390,FiftyWords,0,0.8197802197802198
391,FiftyWords,1,0.8263736263736263
392,FiftyWords,2,0.8351648351648352
393,FiftyWords,3,0.8263736263736263
394,FiftyWords,4,0.8307692307692308
395,FiftyWords,5,0.8219780219780219
396,FiftyWords,6,0.832967032967033
397,FiftyWords,7,0.8307692307692308
398,FiftyWords,8,0.8307692307692308
399,FiftyWords,9,0.8307692307692308
400,Fish,0,0.9771428571428571
401,Fish,1,0.9828571428571429
402,Fish,2,0.9828571428571429
403,Fish,3,0.9828571428571429
404,Fish,4,0.9828571428571429
405,Fish,5,0.9828571428571429
406,Fish,6,0.9828571428571429
407,Fish,7,0.9828571428571429
408,Fish,8,0.9828571428571429
409,Fish,9,0.9771428571428571
410,FordA,0,0.9318181818181818
411,FordA,1,0.9303030303030303
412,FordA,2,0.9371212121212121
413,FordA,3,0.9454545454545454
414,FordA,4,0.9386363636363636
415,FordA,5,0.9340909090909091
416,FordA,6,0.9325757575757576
417,FordA,7,0.9378787878787879
418,FordA,8,0.9348484848484848
419,FordA,9,0.9424242424242424
420,FordB,0,0.8012345679012346
421,FordB,1,0.8049382716049382
422,FordB,2,0.8098765432098766
423,FordB,3,0.8012345679012346
424,FordB,4,0.7975308641975308
425,FordB,5,0.7888888888888889
426,FordB,6,0.7901234567901234
427,FordB,7,0.8037037037037037
428,FordB,8,0.7962962962962963
429,FordB,9,0.7901234567901234
430,FreezerRegularTrain,0,0.9978947368421053
431,FreezerRegularTrain,1,0.9982456140350877
432,FreezerRegularTrain,2,0.9971929824561403
433,FreezerRegularTrain,3,0.9975438596491228
434,FreezerRegularTrain,4,0.9971929824561403
435,FreezerRegularTrain,5,0.9975438596491228
436,FreezerRegularTrain,6,0.9975438596491228
437,FreezerRegularTrain,7,0.9975438596491228
438,FreezerRegularTrain,8,0.9971929824561403
439,FreezerRegularTrain,9,0.9978947368421053
440,FreezerSmallTrain,0,0.9543859649122807
441,FreezerSmallTrain,1,0.9501754385964912
442,FreezerSmallTrain,2,0.9505263157894737
443,FreezerSmallTrain,3,0.9487719298245614
444,FreezerSmallTrain,4,0.9505263157894737
445,FreezerSmallTrain,5,0.9473684210526315
446,FreezerSmallTrain,6,0.9505263157894737
447,FreezerSmallTrain,7,0.9498245614035088
448,FreezerSmallTrain,8,0.9487719298245614
449,FreezerSmallTrain,9,0.9529824561403509
450,Fungi,0,1.0
451,Fungi,1,1.0
452,Fungi,2,1.0
453,Fungi,3,1.0
454,Fungi,4,1.0
455,Fungi,5,1.0
456,Fungi,6,1.0
457,Fungi,7,1.0
458,Fungi,8,1.0
459,Fungi,9,1.0
460,GestureMidAirD1,0,0.7769230769230769
461,GestureMidAirD1,1,0.7769230769230769
462,GestureMidAirD1,2,0.7769230769230769
463,GestureMidAirD1,3,0.7769230769230769
464,GestureMidAirD1,4,0.7769230769230769
465,GestureMidAirD1,5,0.7769230769230769
466,GestureMidAirD1,6,0.7769230769230769
467,GestureMidAirD1,7,0.7769230769230769
468,GestureMidAirD1,8,0.7769230769230769
469,GestureMidAirD1,9,0.7769230769230769
470,GestureMidAirD2,0,0.6692307692307692
471,GestureMidAirD2,1,0.6615384615384615
472,GestureMidAirD2,2,0.6538461538461539
473,GestureMidAirD2,3,0.6692307692307692
474,GestureMidAirD2,4,0.6538461538461539
475,GestureMidAirD2,5,0.6692307692307692
476,GestureMidAirD2,6,0.6692307692307692
477,GestureMidAirD2,7,0.6615384615384615
478,GestureMidAirD2,8,0.6538461538461539
479,GestureMidAirD2,9,0.6538461538461539
480,GestureMidAirD3,0,0.47692307692307695
481,GestureMidAirD3,1,0.47692307692307695
482,GestureMidAirD3,2,0.49230769230769234
483,GestureMidAirD3,3,0.47692307692307695
484,GestureMidAirD3,4,0.49230769230769234
485,GestureMidAirD3,5,0.49230769230769234
486,GestureMidAirD3,6,0.4846153846153846
487,GestureMidAirD3,7,0.47692307692307695
488,GestureMidAirD3,8,0.4846153846153846
489,GestureMidAirD3,9,0.4846153846153846
490,GesturePebbleZ1,0,0.8895348837209303
491,GesturePebbleZ1,1,0.8953488372093024
492,GesturePebbleZ1,2,0.8895348837209303
493,GesturePebbleZ1,3,0.8953488372093024
494,GesturePebbleZ1,4,0.8953488372093024
495,GesturePebbleZ1,5,0.9069767441860465
496,GesturePebbleZ1,6,0.9011627906976745
497,GesturePebbleZ1,7,0.8953488372093024
498,GesturePebbleZ1,8,0.8953488372093024
499,GesturePebbleZ1,9,0.9069767441860465
500,GesturePebbleZ2,0,0.8037974683544303
501,GesturePebbleZ2,1,0.8164556962025317
502,GesturePebbleZ2,2,0.8037974683544303
503,GesturePebbleZ2,3,0.810126582278481
504,GesturePebbleZ2,4,0.7848101265822784
505,GesturePebbleZ2,5,0.7911392405063291
506,GesturePebbleZ2,6,0.7911392405063291
507,GesturePebbleZ2,7,0.7848101265822784
508,GesturePebbleZ2,8,0.7848101265822784
509,GesturePebbleZ2,9,0.810126582278481
510,GunPoint,0,1.0
511,GunPoint,1,1.0
512,GunPoint,2,1.0
513,GunPoint,3,1.0
514,GunPoint,4,1.0
515,GunPoint,5,1.0
516,GunPoint,6,1.0
517,GunPoint,7,1.0
518,GunPoint,8,1.0
519,GunPoint,9,1.0
520,GunPointAgeSpan,0,0.990506329113924
521,GunPointAgeSpan,1,0.9873417721518988
522,GunPointAgeSpan,2,0.9936708860759493
523,GunPointAgeSpan,3,0.990506329113924
524,GunPointAgeSpan,4,0.990506329113924
525,GunPointAgeSpan,5,0.9936708860759493
526,GunPointAgeSpan,6,0.990506329113924
527,GunPointAgeSpan,7,0.9841772151898734
528,GunPointAgeSpan,8,0.990506329113924
529,GunPointAgeSpan,9,0.990506329113924
530,GunPointMaleVersusFemale,0,0.9968354430379747
531,GunPointMaleVersusFemale,1,0.9968354430379747
532,GunPointMaleVersusFemale,2,0.9968354430379747
533,GunPointMaleVersusFemale,3,1.0
534,GunPointMaleVersusFemale,4,1.0
535,GunPointMaleVersusFemale,5,1.0
536,GunPointMaleVersusFemale,6,1.0
537,GunPointMaleVersusFemale,7,0.9968354430379747
538,GunPointMaleVersusFemale,8,1.0
539,GunPointMaleVersusFemale,9,0.9968354430379747
540,GunPointOldVersusYoung,0,1.0
541,GunPointOldVersusYoung,1,1.0
542,GunPointOldVersusYoung,2,1.0
543,GunPointOldVersusYoung,3,1.0
544,GunPointOldVersusYoung,4,1.0
545,GunPointOldVersusYoung,5,1.0
546,GunPointOldVersusYoung,6,1.0
547,GunPointOldVersusYoung,7,1.0
548,GunPointOldVersusYoung,8,1.0
549,GunPointOldVersusYoung,9,1.0
550,Ham,0,0.7142857142857143
551,Ham,1,0.7333333333333333
552,Ham,2,0.7333333333333333
553,Ham,3,0.7238095238095238
554,Ham,4,0.6952380952380952
555,Ham,5,0.7238095238095238
556,Ham,6,0.7142857142857143
557,Ham,7,0.7238095238095238
558,Ham,8,0.7142857142857143
559,Ham,9,0.7428571428571429
560,HandOutlines,0,0.9405405405405406
561,HandOutlines,1,0.9432432432432433
562,HandOutlines,2,0.9486486486486486
563,HandOutlines,3,0.9432432432432433
564,HandOutlines,4,0.9459459459459459
565,HandOutlines,5,0.9405405405405406
566,HandOutlines,6,0.9459459459459459
