,dataset,run,threshold,accuracy,num_features_kept,num_features_total,fraction_kept,classifier_train_time
89,DistalPhalanxOutlineAgeGroup,0,threshold=0.0,0.7410071942446043,19910,20000,0.9955,0.14810580003540963
90,DistalPhalanxOutlineAgeGroup,0,threshold=0.001,0.7482014388489209,16796,20000,0.8398,0.12759029999142513
91,DistalPhalanxOutlineAgeGroup,0,threshold=0.01,0.7553956834532374,9992,20000,0.4996,0.09014889999525622
92,DistalPhalanxOutlineCorrect,0,no_selection (baseline),0.7536231884057971,20000,20000,1.0,0.2327748999814503
93,DistalPhalanxOutlineCorrect,0,threshold=0.0,0.7536231884057971,19984,20000,0.9992,0.2578162999707274
94,DistalPhalanxOutlineCorrect,0,threshold=0.001,0.75,17508,20000,0.8754,0.22006619995227084
95,DistalPhalanxOutlineCorrect,0,threshold=0.01,0.7608695652173914,10215,20000,0.51075,0.16646969999419525
96,DistalPhalanxTW,0,no_selection (baseline),0.697841726618705,20000,20000,1.0,0.14214140002150089
97,DistalPhalanxTW,0,threshold=0.0,0.697841726618705,19918,20000,0.9959,0.1466923999832943
98,DistalPhalanxTW,0,threshold=0.001,0.6906474820143885,16842,20000,0.8421,0.12942680000560358
99,DistalPhalanxTW,0,threshold=0.01,0.6834532374100719,10048,20000,0.5024,0.1107285000034608
100,DodgerLoopDay,0,no_selection (baseline),0.525,20000,20000,1.0,0.022123999951872975
101,DodgerLoopDay,0,threshold=0.0,0.525,19998,20000,0.9999,0.023606599948834628
102,DodgerLoopDay,0,threshold=0.001,0.5375,19740,20000,0.987,0.023486100020818412
103,DodgerLoopDay,0,threshold=0.01,0.55,11549,20000,0.57745,0.012843600008636713
104,DodgerLoopGame,0,no_selection (baseline),0.8695652173913043,20000,20000,1.0,0.006104299973230809
105,DodgerLoopGame,0,threshold=0.0,0.8695652173913043,19993,20000,0.99965,0.00841840001521632
106,DodgerLoopGame,0,threshold=0.001,0.8695652173913043,18231,20000,0.91155,0.007669299957342446
107,DodgerLoopGame,0,threshold=0.01,0.8695652173913043,12215,20000,0.61075,0.00613390002399683
108,DodgerLoopWeekend,0,no_selection (baseline),0.9637681159420289,20000,20000,1.0,0.006331800017505884
109,DodgerLoopWeekend,0,threshold=0.0,0.9637681159420289,19989,20000,0.99945,0.008666699985042214
110,DodgerLoopWeekend,0,threshold=0.001,0.9637681159420289,16757,20000,0.83785,0.007271900016348809
111,DodgerLoopWeekend,0,threshold=0.01,0.9710144927536232,11357,20000,0.56785,0.005598799965810031
112,ECG200,0,no_selection (baseline),0.91,20000,20000,1.0,0.027971600007731467
113,ECG200,0,threshold=0.0,0.91,19998,20000,0.9999,0.030312899965792894
114,ECG200,0,threshold=0.001,0.91,19134,20000,0.9567,0.03595570003380999
115,ECG200,0,threshold=0.01,0.88,11135,20000,0.55675,0.015843599976506084
